actual,pred,alive,title,male,culture,dateOfBirth,house,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,isPopular,popularity,target
1,0,0.494,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0635451505016722,0
1,1,0.975,Other,1,Other,268.0,Other,1,1,1,1,1,0,0,0,0,0,0.0066889632107023,0
0,0,0.374,Other,1,Other,268.0,Other,1,0,1,1,0,0,1,0,0,0,0.0769230769230769,1
1,1,0.939,Other,1,Other,268.0,Other,0,1,1,1,1,0,1,0,0,0,0.0301003344481605,0
1,0,0.467,Other,1,Other,268.0,Other,0,1,1,1,1,1,1,0,0,0,0.0802675585284281,0
1,1,0.998,Other,1,Other,268.0,Other,0,0,0,1,0,0,1,0,0,0,0.0167224080267558,0
1,0,0.086,Other,1,Other,268.0,Other,0,1,1,0,0,0,1,0,0,0,0.0635451505016722,0
0,0,0.187,Other,0,Other,268.0,Other,0,1,1,0,0,0,0,0,0,0,0.0635451505016722,1
1,0,0.067,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,0,0,1,0.709030100334448,0
1,1,0.676,Other,0,Other,288.0,Other,1,1,1,1,1,0,0,0,0,0,0.103678929765886,0
1,1,0.504,Other,1,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0267558528428093,0
1,1,0.767,Other,1,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.040133779264214,0
1,1,0.993,Other,0,Other,268.0,Other,0,0,0,1,1,0,0,0,0,0,0.0167224080267558,0
1,0,0.417,Other,1,Other,268.0,Other,0,1,0,0,0,0,1,0,0,0,0.127090301003344,0
1,1,0.976,Other,1,Other,268.0,Other,0,0,1,1,0,0,0,0,0,0,0.0267558528428093,0
1,1,0.996,Other,1,Other,268.0,Other,0,0,0,1,1,0,1,0,0,0,0.0167224080267558,0
1,1,0.677,Other,1,Other,268.0,Other,0,0,0,0,1,0,0,0,0,0,0.0066889632107023,0
0,1,0.532,Other,1,Other,268.0,Other,0,1,0,0,0,0,0,0,0,0,0.0066889632107023,1
0,1,0.973,Other,1,Other,268.0,Other,0,0,0,0,0,0,1,0,0,0,0.0167224080267558,1
1,0,0.036,Other,1,Other,268.0,Other,0,0,0,0,0,0,0,4,1,1,1.0,0
1,1,0.98,Other,0,Other,284.0,Other,0,1,1,1,0,0,1,0,0,0,0.0267558528428093,0
